"Редактирование любых моделей, созданных в СУМ и в СУРМ",+/+,,,,,,,,,,,,,,,,,,,,
"Редактирование моделей, созданных в СУМ",+/-,,,,,,,,,,,,,,,,,,,,
"Редактирование моделей, созданных в СУРМ",-/+,,,,,,,,,,,,,,,,,,,,
Редактирование недоступно,-/-,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Название атрибута в СУРМ,Источник СУМ,"Бизнес-заказчик (Владелец модели)  для моделей, созданных в СУМ/созданных в СУРМ","Руководитель Вадилации, Валидатор для моделей, созданных в СУМ/созданных в СУРМ","Руководитель DE, DE  для моделей, созданных в СУМ/созданных в СУРМ","DS_Lead для моделей, созданных в СУМ/созданных в СУРМ","DS  для моделей, созданных в СУМ/созданных в СУРМ","Руководитель ModelOps,  ModelOps для моделей, созданных в СУМ/созданных в СУРМ","Бизнес-партнер  стрима для моделей, созданных в СУМ/созданных в СУРМ","Бизнес-партнер  (штабная) для моделей, созданных в СУМ/созданных в СУРМ",Доступен ли для редактирования в СУРМ,Реализованный алгоритм синхронизации,Целевой алгоритм синхронизации,,,,,,,,,
Регуляторный код Модели (ПВР),-,+/+,+/+,-/-,-/-,-/-,-/-,-/-,-/-,Да,Синхронизации нет,Синхронизации нет,,,,,,,,,
Внутренний номер модели,-,+/+,+/+,-/-,-/-,-/-,-/-,-/-,-/-,Да,Синхронизации нет,Синхронизации нет,,,,,,,,,
Действующая Модель/Модуль,-,+/+,+/+,-/-,-/-,-/-,-/-,-/-,-/-,Да,Синхронизации нет,Синхронизации нет,,,,,,,,,
Модель входит в рейтинговую систему?,-,+/+,+/+,-/-,-/-,-/-,-/-,-/-,-/-,Да,Синхронизации нет,Синхронизации нет,,,,,,,,,
Индикатор модели,-,+/+,+/+,-/-,-/-,-/-,-/-,-/-,-/-,Да,Синхронизации нет,Синхронизации нет,,,,,,,,,
Версия калибровки,-,+/+,+/+,-/-,-/-,-/-,-/-,-/-,-/-,Да,Синхронизации нет,Синхронизации нет,,,,,,,,,
Дата калибровки,-,+/+,+/+,-/-,-/-,-/-,-/-,-/-,-/-,Да,Синхронизации нет,Синхронизации нет,,,,,,,,,
Регуляторный код класса/подкласса активов,-,+/+,+/+,-/-,-/-,-/-,-/-,-/-,-/-,Да,Синхронизации нет,Синхронизации нет,,,,,,,,,
Идентификатор Модели / Алгоритма от Владельца модели,-,+/+,+/+,-/-,-/-,-/-,-/-,-/-,-/-,Да,Синхронизации нет,Синхронизации нет,,,,,,,,,
Классификация РС / Алгоритма по классам активов,-,+/+,+/+,-/-,-/-,-/-,-/-,-/-,-/-,Да,Синхронизации нет,Синхронизации нет,,,,,,,,,
